"scale","analysis","model","SSerr"
1,"Car","EC_temp",0.241963204198303
1,"Car","EC_trop",0.927841758038775
1,"Car","NC_temp",1.08478325403916
1,"Car","NC_trop",0.604457183789993
1,"GA","EC_temp",0.22559859866778
1,"GA","EC_trop",0.943243300143589
1,"GA","NC_temp",1.07364376660782
1,"GA","NC_trop",0.594222822546541
1,"Indo","EC_temp",0.927318350859434
1,"Indo","EC_trop",0.764611963847257
1,"Indo","NC_temp",0.484341410576063
1,"Indo","NC_trop",0.723713877561529
1,"Lam","EC_temp",0.417242977807166
1,"Lam","EC_trop",0.798468462347966
1,"Lam","NC_temp",0.936186073203941
1,"Lam","NC_trop",0.0919359750080473
1,"Trop_Atl","EC_temp",0.588003064254097
1,"Trop_Atl","EC_trop",0.486753733632529
1,"Trop_Atl","NC_temp",1.05908338349752
1,"Trop_Atl","NC_trop",0.511320522246367
2,"Car","EC_temp",0.242055860879274
2,"Car","EC_trop",0.902135214849354
2,"Car","NC_temp",1.10944819205759
2,"Car","NC_trop",0.590029803779446
2,"GA","EC_temp",0.20471131570141
2,"GA","EC_trop",0.995206033479355
2,"GA","NC_temp",1.09107347837512
2,"GA","NC_trop",0.616341815821594
2,"Indo","EC_temp",0.931398000475257
2,"Indo","EC_trop",0.801970423891538
2,"Indo","NC_temp",0.470602825731172
2,"Indo","NC_trop",0.746779168889173
2,"Lam","EC_temp",0.387626347858087
2,"Lam","EC_trop",0.838531260505527
2,"Lam","NC_temp",0.95005829949378
2,"Lam","NC_trop",0.103561025937375
2,"Trop_Atl","EC_temp",0.48357244152032
2,"Trop_Atl","EC_trop",0.574711809950388
2,"Trop_Atl","NC_temp",1.08066871825439
2,"Trop_Atl","NC_trop",0.520924347117319
3,"Car","EC_temp",0.241240779601233
3,"Car","EC_trop",0.893356376832374
3,"Car","NC_temp",1.12148016896757
3,"Car","NC_trop",0.584824610246379
3,"GA","EC_temp",0.19163354905257
3,"GA","EC_trop",1.03859582371074
3,"GA","NC_temp",1.09844142750642
3,"GA","NC_trop",0.636426994009307
3,"Indo","EC_temp",1.03615202386801
3,"Indo","EC_trop",0.814692478014306
3,"Indo","NC_temp",0.450020765127481
3,"Indo","NC_trop",0.795767821438894
3,"Lam","EC_temp",0.394816317435318
3,"Lam","EC_trop",0.832712627663676
3,"Lam","NC_temp",0.937763515603327
3,"Lam","NC_trop",0.102843182339161
3,"Trop_Atl","EC_temp",0.482289477254022
3,"Trop_Atl","EC_trop",0.600479317637386
3,"Trop_Atl","NC_temp",1.03919272935333
3,"Trop_Atl","NC_trop",0.534594427224459
4,"Car","EC_temp",0.233943405130458
4,"Car","EC_trop",0.921598122504152
4,"Car","NC_temp",1.11322538474704
4,"Car","NC_trop",0.598134462408272
4,"GA","EC_temp",0.177945344505949
4,"GA","EC_trop",1.09750593093155
4,"GA","NC_temp",1.10369646031578
4,"GA","NC_trop",0.665238378278366
4,"Indo","EC_temp",0.960525035401516
4,"Indo","EC_trop",0.863595292667999
4,"Indo","NC_temp",0.44683690935406
4,"Indo","NC_trop",0.793784301164036
4,"Lam","EC_temp",0.325469978828003
4,"Lam","EC_trop",0.972546979992913
4,"Lam","NC_temp",0.915244344805864
4,"Lam","NC_trop",0.155779180256772
4,"Trop_Atl","EC_temp",0.433057714127715
4,"Trop_Atl","EC_trop",0.752624078486697
4,"Trop_Atl","NC_temp",0.942308374291048
4,"Trop_Atl","NC_trop",0.601369678909762
5,"Car","EC_temp",0.277327159941667
5,"Car","EC_trop",0.828418208338691
5,"Car","NC_temp",1.09117612440547
5,"Car","NC_trop",0.561013860739028
5,"GA","EC_temp",0.17800463903232
5,"GA","EC_trop",1.12905644239705
5,"GA","NC_temp",1.08929152659868
5,"GA","NC_trop",0.683314450325621
5,"Indo","EC_temp",1.35248912525059
5,"Indo","EC_trop",0.718485486997873
5,"Indo","NC_temp",0.481833383378995
5,"Indo","NC_trop",0.867308815512848
5,"Lam","EC_temp",0.368796420370458
5,"Lam","EC_trop",0.971244487444764
5,"Lam","NC_temp",0.802884809477972
5,"Lam","NC_trop",0.170332326276562
5,"Trop_Atl","EC_temp",0.288445014505305
5,"Trop_Atl","EC_trop",0.975730601802902
5,"Trop_Atl","NC_temp",1.02571292106455
5,"Trop_Atl","NC_trop",0.67447420825117
6,"Car","EC_temp",0.367966707748824
6,"Car","EC_trop",0.675999735096238
6,"Car","NC_temp",1.0677562462884
6,"Car","NC_trop",0.508425300924719
6,"GA","EC_temp",0.242817337969044
6,"GA","EC_trop",0.930859936800974
6,"GA","NC_temp",1.0390216343565
6,"GA","NC_trop",0.593303768982991
6,"Indo","EC_temp",1.68431176321324
6,"Indo","EC_trop",0.855132699143035
6,"Indo","NC_temp",0.476818307397496
6,"Indo","NC_trop",1.07954484691345
6,"Lam","EC_temp",0.332518082668363
6,"Lam","EC_trop",0.997169398067295
6,"Lam","NC_temp",0.862559452658243
6,"Lam","NC_trop",0.17195043246795
6,"Trop_Atl","EC_temp",0.285652197805177
6,"Trop_Atl","EC_trop",1.08347911531406
6,"Trop_Atl","NC_temp",0.985433014961083
6,"Trop_Atl","NC_trop",0.735151609065058
